id,title,section,description
1,End-to-End Loan Lifecycle Management ~ Loan Lifecycle Coverage,A,How effectively does the solution support the entire loan lifecycle from origination (including prospecting) to closure across different lending products and customer segments?
2,End-to-End Loan Lifecycle Management ~ Loan Modification and Historical Tracking,A,Can the system modify and extend existing loans without requiring closure and reopening while tracking historical loans and their performance including defaults and write-offs?
3,End-to-End Loan Lifecycle Management ~ Multiple Product Management Flexibility,A,Are there any restrictions on the number of active loan products of the same type per customer?
4,End-to-End Loan Lifecycle Management ~ Multi-channel Application Processing Efficiency,A,How efficiently does the platform handle application intake validation document collection credit assessment and underwriting across different channels?
5,End-to-End Loan Lifecycle Management ~ Product Configuration and Segment-based Workflows,A,Can new loan products parameters and decisioning rules be configured easily? Does the system support automated pre-approvals and different workflows for borrower segments?
6,End-to-End Loan Lifecycle Management ~ Document Data Extraction Capabilities,A,Can the platform extract and utilize financial data from uploaded documents (e.g. bank statements payslips)?
7,End-to-End Loan Lifecycle Management ~ High-volume Multi-segment Processing,A,How effectively does the platform manage high volumes of loan applications across multiple segments (Personal SME Corporate) supporting concurrent processing across multiple channels?
8,End-to-End Loan Lifecycle Management ~ Cross-channel Continuity and Tracking,A,Can applications be started on one channel and completed on another without data loss? What tracking and alerting capabilities exist for applicants and staff regarding application status?
9,Automated Decisioning ~ Decision Engine Sophistication,A,How sophisticated is the platform's decision engine in handling automated loan decisions including multi-parameter decisioning?
10,Automated Decisioning ~ External Decision Integration,A,Does the platform provide APIs for integrating automated decision-making into external workflows and alternative scoring models?
11,Automated Disbursement & Loan Servicing ~ Data Source Integration for Risk Assessment,A,How effectively does the system incorporate internal and external data sources for credit scoring and risk assessment?
12,Automated Disbursement & Loan Servicing ~ Credit Policy Optimization and Management,A,Can the platform support test-and-learn strategies for optimizing credit policies and how easily can business users modify and enforce lending policies credit rules and approval hierarchies?
13,Automated Disbursement & Loan Servicing ~ Disbursement Automation Efficiency,A,How efficiently does the platform automate loan disbursement account creation and fund transfers across multiple disbursal channels?
